time_h,WT,delta_rpoS
0.0,0.009934284087865675,0.002218451794197322
1.0,0.0,0.0
2.0,0.09213941377638889,0.007513960374090458
3.0,0.4804600661966945,0.0
4.0,0.8376423223970678,0.0062496553065841684
5.0,1.051457509194859,0.1375743564937468
6.0,1.1775453849409092,0.455139150849529
7.0,1.1955622546843065,0.6358851375030555
8.0,1.1834330589119386,0.7339650512695416
9.0,1.208256412660902,0.8263375311819381
10.0,1.1897947278115046,0.808965012553452
11.0,1.1903472547773586,0.847350268278573
12.0,1.2047172206179653,0.8080115898137231
13.0,1.161690363785663,0.8222936009545165
14.0,1.1654857554584226,0.8534703346675501
15.0,1.188748516605178,0.8645786085681544
16.0,1.1797413090355033,0.8533494633890447
17.0,1.2062842002592589,0.847655215856888
18.0,1.1818392491706404,0.8439649303068578
19.0,1.171753828795649,0.8204242522978257
20.0,1.229312940314078,0.8356009479230484
21.0,1.1954844613380915,0.840786339140399
22.0,1.2013505595285068,0.8711420828835803
23.0,1.171505034628463,0.8568722180862925
24.0,1.189112344915117,0.8147391365655141
